t,vehicle_id,speed_now,speed_ref,yaw_now,yaw_ref,yaw_err_deg,steer,accel,traj_x,traj_y,s,gap,desired_gap,throttle,brake
0.5,vehicle_0,1.5156396627426147,3.0,-0.04043116793036461,-0.005692000035196543,1.9904077041894976,-0.020668676123023033,1.4999966621398926,45.69423294067383,170.46142578125,25.472999572753906,0.0,10.0,0.5990485548973083,0.0
0.5,vehicle_1,1.754761797201354e-05,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.31936347484588623,-0.6852912306785583,35.119998931884766,170.5399932861328,14.972999572753906,6.099999904632568,10.0,0.0,0.13705824315547943
0.4,vehicle_2,3.859792286675656e-06,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.16226963698863983,-3.0,25.119998931884766,170.5399932861328,4.9730000495910645,5.099999904632568,10.0,0.0,0.6000000238418579
0.6000000000000001,vehicle_0,2.4833688735961914,3.0,-0.03025878220796585,-0.005692000035196543,1.4075729347169117,-0.027126494795084,1.5,46.85594940185547,170.43292236328125,26.972999572753906,0.0,10.0,0.5779613852500916,0.0
0.6000000000000001,vehicle_1,3.1138215490500443e-06,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.31936347484588623,1.4344148635864258,35.119998931884766,170.5399932861328,14.972999572753906,7.099999904632568,10.0,0.47773051261901855,0.0
0.5,vehicle_2,2.872666755138198e-06,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.16226963698863983,-3.0,25.119998931884766,170.5399932861328,4.9730000495910645,5.099999904632568,10.0,0.0,0.6000000238418579
0.7000000000000001,vehicle_0,2.6995973587036133,3.0,-0.019962988793849945,-0.005692000035196543,0.8176674253494819,-0.012880180962383747,1.5,48.580848693847656,170.40460205078125,28.312999725341797,0.0,10.0,0.5752704739570618,0.0
0.7000000000000001,vehicle_1,0.5385732650756836,3.0,0.0023723437916487455,-0.005692000035196543,-0.46205286582061417,0.28712910413742065,1.5,35.14338684082031,170.5358123779297,14.972999572753906,8.9399995803833,10.0,0.32799261808395386,0.0
0.6000000000000001,vehicle_2,1.0157774568142486e-06,3.0,0.005689576268196106,-0.005692000035196543,-0.6521162863905078,0.16226963698863983,-2.233114719390869,25.119998931884766,170.5399932861328,4.9730000495910645,5.099999904632568,10.0,0.0,0.44662293791770935
0.8,vehicle_0,2.6671671867370605,3.0,-0.013317551463842392,-0.005692000035196543,0.4369119133213624,-0.009191084653139114,1.5,50.57109832763672,170.38194274902344,30.312999725341797,0.0,10.0,0.5756012201309204,0.0
