t,state,route,x0,y0,yaw0,v0,s0,x1,y1,yaw1,v1,s1,x2,y2,yaw2,v2,s2,speed_ref0,gap01,des01,es01,ev01,tau01,h1,omega_s1,omega_v1,triggered1,trigger_norm1,u_bar1,u_feedback1,a1,solver_status1,solver_value1,solve_time_ms1,fallback_used1,gap12,des12,es12,ev12,tau12,h2,omega_s2,omega_v2,triggered2,trigger_norm2,u_bar2,u_feedback2,a2,solver_status2,solver_value2,solve_time_ms2,fallback_used2,a0,cmd0_throttle,cmd0_brake,cmd0_steer,cmd1_throttle,cmd1_brake,cmd1_steer,cmd2_throttle,cmd2_brake,cmd2_steer
167.111718039,DRIVING,A,301.57452392578125,168.9349365234375,-0.005005247942127701,2.9939468400805613,281.653,292.48919677734375,168.99337768554688,-0.004872464914800682,2.691218756828401,272.153,283.4676208496094,169.043701171875,-0.005092890909126526,2.567979593890643,263.153,3.0,9.5,7.860330174666588,1.6396698253334119,0.3027280832521604,0.01904188727258408,1.0628382279995274,0.5571256618177522,0.21904188727258408,1.0,1.3981756795408442,1.4999999997691105,1.3353207428679086e-12,1.4999999997704458,optimal,115.52439908434434,1.6044819999478932,False,9.0,8.372725360095489,0.6272746399045115,0.12323916293775783,0.09496273022401294,1.3133770097392428,0.7848881906720389,0.294962730224013,True,0.0,0.8664557820703691,2.0273108192192526e-11,0.8664557820906422,optimal,16.920340147914928,1.5811129997018725,False,0.050919883755616895,0.39877110817809364,0.0,-0.00442187863190399,0.5753548610235395,0.0,0.014176764511794393,0.5128654316275311,0.0,0.011855591601528838
167.212377704,DRIVING,A,301.8728942871094,168.93374633789062,-0.004364909583369563,2.99487177477525,281.653,292.76806640625,168.98985290527344,-0.006393031589140999,2.8647104132544197,272.653,283.7112731933594,169.041015625,-0.00615433225257774,2.357755711575879,263.653,3.0,9.0,8.461197742464499,0.5388022575355009,0.13016136152083035,0.06309668694188296,1.2082190669082138,0.6892900608256489,0.263096686941883,1.0,1.6432624115610097,1.5000000000025464,-2.0407192602434065e-11,1.4999999999821392,optimal,11.739101558385425,1.732406999963132,False,9.0,7.438844998365637,1.5611550016343632,0.5069547016785405,0.010421991993389152,1.0343925735781843,0.5312659759801674,0.21042199199338915,1.0,2.8294262428213237,1.5000000004280658,2.7651747558365968e-11,1.5,optimal,117.58801013342585,1.7099940000662173,False,0.050066836921786394,0.3841615996703995,0.0,-0.005883021728946422,0.5737523003442898,0.0,0.003354742618662805,0.5820042661071481,0.0,0.004798457907992931
167.310085371,DRIVING,A,302.1718444824219,168.9333038330078,-0.003325834111737164,3.000996601622321,282.153,293.0654602050781,168.9870147705078,-0.007071465114906232,3.059261665279809,273.153,283.94305419921875,169.0387420654297,-0.0067671890775403195,2.303443730696593,263.653,3.0,9.0,8.217890842138367,0.7821091578616333,-0.05826506365748774,0.015712761048996375,1.051852111461688,0.5471382831469891,0.2157127610489964,0.0,0.45704485971869285,1.2670760604301867,0.023002297721219377,1.2900783581514061,optimal,11.739101558385425,1.732406999963132,False,9.5,7.470429092095434,2.0295709079045663,0.7558179345832157,0.02196781453437662,1.0724937879634429,0.5659034436031298,0.22196781453437664,1.0,1.9426430363307012,1.5000000007732068,1.6280554682168714e-11,1.5,optimal,215.8157193295872,1.6552830002183327,False,0.044243268408957294,0.3711653795317338,0.0,-0.005497185260225185,0.5533065925612044,0.0,-0.009102960660617826,0.5840438851567479,0.0,-0.001608540036105474
167.41524903700002,DRIVING,A,302.47113037109375,168.9331817626953,-0.002284410168948182,3.001520854818747,282.153,293.3825988769531,168.98585510253906,-0.006268072117664738,3.25878288692333,273.153,284.17657470703125,169.03713989257812,-0.006754109939725859,2.363112368555365,264.153,3.0,9.0,9.101070747383424,-0.10107074738342448,-0.25726203210458287,0.07832333556745269,1.2584670073725939,0.7349700067023581,0.2783233355674527,True,0.0,-0.01363924233675419,-2.33511127101238e-11,-0.013639242360105303,optimal,2.875638735938684,1.6748709999774292,False,9.0,7.449359446225063,1.5506405537749366,0.895670518367965,0.01105976949276603,1.0364972393261278,0.5331793084782981,0.21105976949276603,1.0,1.7226809585439113,1.4999999998122626,-3.551381411170954e-13,1.4999999998119076,optimal,145.09388969898438,1.6689580002093862,False,0.04373762359825884,0.37173184647310664,0.0,0.00027735095265579756,0.0,0.0,-0.01043127314067501,0.5818133353108097,0.0,-0.009123286599923078
167.508424928,DRIVING,A,302.7701110839844,168.93263244628906,-0.0018025140305159215,2.996802001733288,282.653,293.71551513671875,168.9856414794922,-0.004931184495945026,3.3475872750774,273.653,284.4203186035156,169.03651428222656,-0.006011874460353164,2.491962286035048,264.153,3.0,9.0,8.962712670351591,0.037287329648409084,-0.3507852733441119,0.05568238244879313,1.1837518620810172,0.6670471473463794,0.25568238244879316,0.0,0.44523511091289564,-0.5320401990262462,-0.024115443234962446,-0.5561556422612086,optimal,2.875638735938684,1.6748709999774292,False,9.5,8.034576649044231,1.4654233509557688,0.8556249890423517,0.06598358080004871,1.2177458166401607,0.6979507424001461,0.2659835808000487,0.0,0.48332435483136743,1.5000000002742628,0.031015831456339564,1.5,optimal,145.09388969898438,1.6689580002093862,False,0.048236524020778604,0.36669095795240303,0.0,0.016298496806798027,0.0,0.11123112845224173,0.0060761436357132095,0.5777155920884167,0.0,-0.008880258854591172
167.60858046500002,DRIVING,A,303.06842041015625,168.9298553466797,-0.002980203915995041,2.988053861201335,282.653,294.0386962890625,168.98367309570312,-0.0052076372618520645,3.1360704659754015,274.153,284.67926025390625,169.03627014160156,-0.0050829997623904055,2.66015871852019,264.653,3.0,8.5,8.563441197089515,-0.06344119708951546,-0.14801660477406653,0.041295718180079884,1.1362758699942637,0.6238871545402397,0.2412957181800799,0.0,0.26771738970329806,-0.6571308970106589,0.05059560280367309,-0.6065352942069857,optimal,2.875638735938684,1.6748709999774292,False,9.5,8.087690983001007,1.412309016998993,0.4759117474552115,0.04870206832354843,1.1607168254677098,0.6461062049706453,0.24870206832354844,0.0,0.671585769388837,1.4999999997110585,-0.13234839063949944,1.367651609071559,optimal,145.09388969898438,1.6689580002093862,False,0.05660698822012723,0.42068016516330087,0.0,0.017431827790641632,0.0,0.12130705884139714,0.007365829822239909,0.5626402951161458,0.0,-0.0081708863772836
167.71222220800001,DRIVING,A,303.3663330078125,168.9259796142578,-0.004655512993310898,2.9937796448510494,283.603,294.33563232421875,168.98101806640625,-0.006040794205167095,2.8544646106210556,274.153,284.9560241699219,169.03619384765625,-0.004157659734581479,2.8456869112168732,264.653,3.0,9.449999999999989,8.559171024603554,0.8908289753964347,0.1393150342299938,0.07481171683892493,1.2468786655684523,0.7244351505167748,0.2748117168389249,True,0.0,1.15198901297547,2.7809321512251015e-11,1.1519890130032793,optimal,33.211946677614996,1.7059599999811326,False,9.5,8.33122326190304,1.1687767380969607,0.008777699404182382,0.051703589351556514,1.1706218448601364,0.6551107680546695,0.2517035893515565,1.0,1.9665363849902546,1.4999999999674416,-4.0411693089104084e-11,1.49999999992703,optimal,49.40855063673354,1.6604870002083771,False,0.05119859552864327,0.4035464662001056,0.0,0.0014490691743953455,0.540837740244803,0.0,0.003974800735471805,0.5739135971010336,0.0,-0.002576486488795983
167.812181767,DRIVING,A,303.6659240722656,168.92367553710938,-0.004861209418154545,3.0132868696859236,283.603,294.6070556640625,168.97860717773438,-0.006563209663391666,2.6414181781950927,274.653,285.25177001953125,169.03561401367188,-0.003713443944607612,3.0426230776422907,265.153,3.0,8.949999999999989,8.23609440352671,0.7139055964732783,0.3718686914908309,0.06822278965699126,1.2251352058680711,0.7046683689709738,0.26822278965699126,1.0,1.324494253173129,1.499999999970303,7.680589497738311e-12,1.4999999999779836,optimal,25.470452356449243,1.6341719997399196,False,9.5,8.26921751902136,1.2307824809786396,-0.40120489944719795,0.022567692574424977,1.0744733854956023,0.5677030777232749,0.222567692574425,1.0,1.1730580239833415,1.4999999999981153,-1.516851089178317e-11,1.4999999999829468,optimal,44.91316394583406,1.6966010002761323,False,0.032600297587083146,0.3842121879000727,0.0,-0.006497825074765608,0.5758717890816369,0.0,-0.004519536517785425,0.5725164864387929,0.0,0.013305777149302256
167.912243039,DRIVING,A,303.96722412109375,168.92291259765625,-0.003924858883713822,3.02802975552602,283.603,294.8670959472656,168.97727966308594,-0.006282407414469931,2.597095280315978,274.653,285.5677185058594,169.03268432617188,-0.004956970865288909,3.251171972432839,265.653,3.0,8.949999999999989,8.389976050060188,0.5600239499398008,0.43093447521004213,0.09251370242113542,1.3052952179897468,0.7775411072634062,0.29251370242113545,True,0.0,1.5000000000062856,5.237588140971637e-13,1.5,optimal,18.09005841385065,1.6895140001906839,False,9.0,9.002488102105218,-0.002488102105218104,-0.654076692116861,0.07002753357147384,1.2310908607858637,0.7100826007144215,0.27002753357147385,True,0.0,-0.40502692035716303,-2.562231052327668e-11,-0.40502692038278537,optimal,6.81284198679308,1.6785190000518924,False,0.018454407261361445,0.3463288552595481,0.0,-0.005307551456133866,0.5763544143104045,0.0,-0.007008923953869064,0.0,0.08100538407655708,0.009733958800921197
168.01166615600002,DRIVING,A,304.2691650390625,168.92259216308594,-0.0029012762997080942,3.024250803697572,284.103,295.13037109375,168.97659301757812,-0.005592888480667245,2.670858808203157,275.153,285.8987731933594,169.02908325195312,-0.006332477443706674,3.3100267777724,265.653,3.0,8.949999999999989,8.024563549646059,0.9254364503539296,0.35339199549441513,0.04013063313324534,1.1324310893397096,0.620391899399736,0.24013063313324534,0.0,0.6008087753258232,1.4999999999995124,0.10793832274720097,1.5,optimal,18.09005841385065,1.6895140001906839,False,9.5,8.62467964111941,0.8753203588805896,-0.6391679695692432,0.028806217874033625,1.095060518984311,0.5864186536221009,0.22880621787403363,1.0,1.6123196520587906,0.046674397066993376,1.1362266683079271e-11,0.04667439707835564,optimal,19.589860427899882,1.7628390000936633,False,0.0219231574798993,0.3462710372965728,0.0,0.010929408601555123,0.5755630053117121,0.0,-0.008905992799006853,0.3732085462857528,0.0,0.0014452366607951898
