s,x,y,yaw,kappa,speed
210.463,230.58,169.34,-0.005692,0.0,3.0
210.963,231.08,169.34,-0.005692,0.0,3.0
211.463,231.58,169.34,-0.005692,0.0,3.0
211.963,232.08,169.34,-0.005692,0.0,3.0
212.463,232.58,169.33,-0.005692,0.0,3.0
212.963,233.08,169.33,-0.005692,0.0,3.0
213.463,233.58,169.33,-0.005692,0.0,3.0
213.963,234.08,169.32,-0.005692,0.0,3.0
214.463,234.58,169.32,-0.005692,0.0,3.0
214.963,235.08,169.32,-0.005692,0.0,3.0
215.463,235.58,169.32,-0.005692,0.0,3.0
215.963,236.08,169.31,-0.005692,0.0,3.0
216.463,236.58,169.31,-0.005692,0.0,3.0
216.963,237.08,169.31,-0.005692,0.0,3.0
217.463,237.58,169.3,-0.005692,0.0,3.0
217.963,238.08,169.3,-0.005692,0.0,3.0
218.463,238.58,169.3,-0.005692,0.0,3.0
218.963,239.08,169.3,-0.005692,0.0,3.0
219.463,239.58,169.29,-0.005692,0.0,3.0
219.963,240.08,169.29,-0.005692,0.0,3.0
220.463,240.58,169.29,-0.005692,0.0,3.0
220.963,241.08,169.28,-0.005692,0.0,3.0
221.463,241.58,169.28,-0.005692,0.0,3.0
221.963,242.08,169.28,-0.005692,0.0,3.0
222.463,242.58,169.28,-0.005692,0.0,3.0
222.963,243.08,169.27,-0.005692,0.0,3.0
223.463,243.58,169.27,-0.005692,0.0,3.0
223.963,244.08,169.27,-0.005692,0.0,3.0
224.463,244.58,169.26,-0.005692,0.0,3.0
224.963,245.08,169.26,-0.005692,0.0,3.0
225.463,245.58,169.26,-0.005692,0.0,3.0
225.963,246.08,169.26,-0.005692,0.0,3.0
226.783,246.9,169.25,-0.005692,-0.0,3.0
227.283,247.4,169.25,-0.005692,1e-06,3.0
227.783,247.9,169.25,-0.005692,0.0,3.0
228.283,248.4,169.24,-0.005692,0.0,3.0
228.783,248.9,169.24,-0.005692,0.0,3.0
229.283,249.4,169.24,-0.005692,0.0,3.0
229.783,249.9,169.23,-0.005692,0.0,3.0
230.283,250.4,169.23,-0.005692,0.0,3.0
230.783,250.9,169.23,-0.005692,0.0,3.0
231.283,251.4,169.23,-0.005692,0.0,3.0
231.783,251.9,169.22,-0.005692,0.0,3.0
232.283,252.4,169.22,-0.005692,0.0,3.0
232.783,252.9,169.22,-0.005692,0.0,3.0
233.283,253.4,169.21,-0.005692,0.0,3.0
233.783,253.9,169.21,-0.005692,0.0,3.0
234.283,254.4,169.21,-0.005692,0.0,3.0
234.783,254.9,169.21,-0.005692,0.0,3.0
235.283,255.4,169.2,-0.005692,0.0,3.0
235.783,255.9,169.2,-0.005692,0.0,3.0
